index,train,val,test
174,BRACS_1634,,
175,BRACS_1966,,
176,BRACS_1259,,
177,BRACS_1274,,
178,BRACS_3335,,
179,BRACS_3334,,
180,BRACS_1655,,
181,BRACS_1483,,
182,BRACS_1961,,
183,BRACS_1508,,
184,BRACS_1249,,
185,BRACS_1665,,
186,BRACS_760,,
187,BRACS_1633,,
188,BRACS_1620,,
189,BRACS_1948,,
190,BRACS_1612,,
191,BRACS_1664,,
192,BRACS_1003706,,
193,BRACS_1832,,
194,BRACS_1880,,
195,BRACS_1003672,,
196,BRACS_761,,
197,BRACS_1972,,
198,BRACS_1273,,
199,BRACS_1924,,
200,BRACS_1370,,
201,BRACS_1320,,
202,BRACS_1511,,
203,BRACS_1338,,
204,BRACS_1318,,
205,BRACS_1905,,
206,BRACS_1242,,
207,BRACS_1605,,
208,BRACS_1893,,
209,BRACS_2004,,
210,BRACS_3316,,
211,BRACS_1637,,
212,BRACS_1407,,
213,BRACS_1231,,
214,BRACS_1635,,
215,BRACS_1830,,
216,BRACS_288,,
217,BRACS_1484,,
218,BRACS_1003678,,
219,BRACS_757,,
220,BRACS_1636,,
221,BRACS_1638,,
222,BRACS_1003731,,
223,BRACS_1003722,,
224,BRACS_1646,,
225,BRACS_754,,
226,BRACS_3321,,
227,BRACS_1272,,
228,BRACS_1277,,
229,BRACS_1648,,
230,BRACS_1516,,
231,BRACS_1279,,
232,BRACS_1831,,
233,BRACS_3289,,
234,BRACS_1477,,
235,BRACS_759,,
236,BRACS_1235,,
237,BRACS_749,,
238,BRACS_752,,
239,BRACS_1003698,,
240,BRACS_1357,,
241,BRACS_1003677,,
242,BRACS_1356,,
243,BRACS_283,,
244,BRACS_1263,,
245,BRACS_298,,
246,BRACS_1232,,
247,BRACS_1003692,,
248,BRACS_1487,,
249,BRACS_1003667,,
250,BRACS_1406,,
251,BRACS_3305,,
252,BRACS_1003708,,
253,BRACS_773,,
254,BRACS_280,,
255,BRACS_1478,,
256,BRACS_3290,,
257,BRACS_1360,,
258,BRACS_3293,,
259,BRACS_748,,
260,BRACS_1003673,,
261,BRACS_3294,,
262,BRACS_311,,
263,BRACS_1003709,,
264,BRACS_1233,,
265,BRACS_1374,,
266,BRACS_1647,,
267,BRACS_1289,,
268,BRACS_1639,,
269,BRACS_1265,,
270,BRACS_3320,,
271,BRACS_1650,,
272,BRACS_1828,,
273,BRACS_3291,,
274,BRACS_1649,,
275,BRACS_1643,,
276,BRACS_1003732,,
277,BRACS_1293,,
278,BRACS_1288,,
279,BRACS_1003684,,
280,BRACS_753,,
281,BRACS_1003721,,
282,BRACS_3314,,
283,BRACS_3319,,
284,BRACS_1827,,
285,BRACS_1812,,
286,BRACS_747,,
287,BRACS_297,,
288,BRACS_1652,,
289,BRACS_1003727,,
290,BRACS_1361,,
291,BRACS_1368,,
292,BRACS_1393,,
293,BRACS_1395,,
294,BRACS_1798,,
295,BRACS_3301,,
296,BRACS_738,,
297,BRACS_739,,
298,BRACS_740,,
299,BRACS_1921,,
300,BRACS_1003697,,
301,BRACS_1247,,
302,BRACS_1366,,
303,BRACS_1489,,
304,BRACS_1490,,
305,BRACS_1491,,
306,BRACS_1492,,
307,BRACS_1496,,
308,BRACS_1497,,
309,BRACS_1509,,
310,BRACS_1512,,
311,BRACS_1514,,
312,BRACS_1515,,
313,BRACS_1607,,
314,BRACS_1771,,
315,BRACS_1811,,
316,BRACS_1816,,
317,BRACS_1835,,
318,BRACS_1862,,
319,BRACS_1864,,
320,BRACS_1874,,
321,BRACS_1883,,
322,BRACS_1888,,
323,BRACS_1903,,
324,BRACS_1920,,
325,BRACS_1927,,
326,BRACS_1928,,
327,BRACS_1929,,
328,BRACS_1931,,
329,BRACS_1947,,
330,BRACS_1950,,
331,BRACS_1970,,
332,BRACS_762,,
333,BRACS_755,,
334,BRACS_737,,
335,BRACS_736,,
336,BRACS_735,,
